class_i,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,ASCUS_c_09999,LSIL_c_09999,ASCH_c_09999,HSIL_c_09999,SCC_c_09999,ASCUS_c_099999,LSIL_c_099999,ASCH_c_099999,HSIL_c_099999,SCC_c_099999,d_05
1,885,3,0,10,0,566,0,0,2,0,277,0,0,1,0,93,0,0,0,0,29,0,0,0,0,179.1376598
1,267,43,0,148,2,175,35,0,87,1,89,31,0,53,1,34,29,0,35,1,8,27,0,24,1,149.6177062
1,1087,23,0,9,8,746,10,0,4,5,369,3,0,1,3,133,3,0,0,1,30,2,0,0,1,180.5790928
1,147,8,0,1,1,83,5,0,0,1,40,3,0,0,1,12,3,0,0,1,3,3,0,0,0,187.7363564
1,1594,1,2,17,1,1203,1,0,5,0,746,1,0,2,0,338,0,0,0,0,108,0,0,0,0,159.4883313
1,575,4,2,19,1,351,3,0,4,0,172,3,0,0,0,65,3,0,0,0,12,3,0,0,0,170.0406747
1,1210,5,4,53,6,892,2,3,19,4,523,0,2,6,3,197,0,2,2,1,45,0,2,0,0,161.9183825
1,151,28,0,13,6,66,7,0,10,6,25,3,0,6,4,10,0,0,5,3,2,0,0,4,1,237.0176367
1,529,3,0,19,7,342,2,0,3,6,158,2,0,0,3,64,1,0,0,1,18,0,0,0,0,146.1147349
1,703,3,2,11,0,416,1,1,4,0,201,1,1,0,0,58,0,1,0,0,15,0,1,0,0,175.9591263
1,495,22,0,0,1,276,14,0,0,1,130,10,0,0,0,45,9,0,0,0,11,8,0,0,0,219.6733469
1,1485,15,0,10,0,839,6,0,7,0,371,1,0,1,0,136,0,0,0,0,38,0,0,0,0,222.7676911
1,879,1,1,4,1,518,0,1,1,1,242,0,0,1,0,96,0,0,0,0,19,0,0,0,0,186.3172082
1,108,5,0,3,1,42,2,0,2,1,15,1,0,1,1,4,0,0,1,1,1,0,0,1,1,193.0337462
1,535,12,0,64,2,284,5,0,33,1,115,3,0,13,1,31,2,0,5,1,7,2,0,4,0,187.0692652
1,627,33,15,38,7,303,9,8,20,5,123,2,4,5,3,37,0,1,2,2,9,0,0,2,0,180.9907619
1,210,48,2,305,22,115,41,1,157,15,51,38,0,68,11,17,38,0,32,9,4,38,0,17,6,156.1848408
1,1133,7,0,43,0,735,2,0,16,0,377,0,0,5,0,163,0,0,1,0,46,0,0,0,0,189.0127981
1,622,1,0,71,5,443,1,0,44,3,274,1,0,29,2,127,1,0,14,2,45,0,0,5,1,175.365286
1,827,15,0,1,0,418,4,0,0,0,157,1,0,0,0,41,0,0,0,0,10,0,0,0,0,210.636109
1,992,14,12,49,4,756,7,5,30,2,550,0,3,17,1,332,0,3,6,1,192,0,1,3,1,149.9486484
1,1344,24,49,16,3,832,10,17,9,3,416,1,9,1,3,183,1,2,1,2,57,1,1,1,2,154.9510947
1,3788,0,0,5,0,2700,0,0,2,0,1555,0,0,0,0,655,0,0,0,0,172,0,0,0,0,195.4429556
1,2050,25,1,1,2,1247,13,0,1,0,631,5,0,0,0,221,3,0,0,0,55,2,0,0,0,203.2860793
1,1259,45,5,14,0,822,34,4,12,0,481,26,3,7,0,234,23,1,6,0,97,22,1,5,0,211.190775
1,6111,6,1,5,5,4972,4,1,3,2,3583,4,0,2,2,1985,4,0,1,1,695,4,0,0,0,169.4881061
1,3282,5,6,3,2,2629,2,1,1,2,1730,2,0,1,0,759,1,0,1,0,191,1,0,1,0,141.1467197
1,4799,24,4,6,14,3584,13,1,3,10,2277,7,1,3,5,1132,2,0,3,2,431,1,0,0,0,174.1141391
1,2773,9,4,56,3,1738,5,3,30,1,895,3,0,6,0,365,1,0,1,0,120,1,0,1,0,202.6330053
1,864,15,0,9,2,538,4,0,5,2,280,2,0,2,2,101,2,0,0,1,26,1,0,0,1,207.425479
1,1408,1,0,4,5,1089,1,0,3,4,687,1,0,2,3,308,1,0,1,2,55,1,0,0,2,177.672219
1,2972,8,8,20,0,2342,3,2,9,0,1464,2,1,2,0,592,1,0,1,0,141,1,0,1,0,148.3944273
1,997,15,4,23,7,558,4,1,10,6,241,1,0,3,4,81,1,0,0,2,27,0,0,0,1,198.6560454
1,1848,20,0,11,1,1159,4,0,6,1,567,3,0,1,1,206,3,0,1,1,58,2,0,1,0,199.8986821
1,42,0,0,9,0,22,0,0,3,0,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,136.1399625
1,2461,5,2,12,0,1649,2,0,6,0,846,1,0,0,0,250,0,0,0,0,50,0,0,0,0,190.4355867
1,1852,2,2,11,2,1427,1,1,2,1,917,0,0,0,1,407,0,0,0,1,104,0,0,0,1,152.0802761
1,2985,18,1,19,3,2172,7,0,7,2,1274,6,0,4,2,526,2,0,3,0,153,1,0,1,0,172.4240223
1,1872,18,34,66,2,1183,12,12,31,1,617,3,1,9,0,240,1,0,2,0,70,1,0,1,0,183.8880714
1,1035,39,3,137,0,596,19,1,74,0,283,17,1,28,0,101,17,1,15,0,25,17,0,8,0,203.5144402
1,573,19,11,33,5,441,17,2,18,3,308,17,1,8,3,169,16,0,4,1,74,16,0,1,1,161.9232062
1,1334,27,1,6,1,897,19,1,3,0,521,14,1,2,0,228,11,0,0,0,53,10,0,0,0,174.933261
1,1532,29,1,13,2,1004,20,0,7,2,563,18,0,0,1,228,17,0,0,0,72,17,0,0,0,205.2290488
1,5974,45,140,16,2,4993,43,53,7,0,3432,40,20,4,0,1705,40,7,0,0,558,40,3,0,0,136.9515581
1,1180,13,7,309,2,925,5,1,185,1,649,3,0,99,1,420,2,0,52,0,243,2,0,31,0,138.3635444
1,684,30,4,10,6,396,24,2,4,4,191,20,1,2,2,71,19,0,0,1,18,19,0,0,1,228.2030026
1,2093,30,0,18,1,1377,12,0,12,0,770,8,0,9,0,360,5,0,5,0,142,4,0,4,0,212.3176513
1,2198,5,1,0,0,1164,4,0,0,0,486,1,0,0,0,136,1,0,0,0,33,1,0,0,0,176.0465009
1,4250,33,21,15,4,3541,29,8,5,1,2588,29,4,2,0,1399,29,0,0,0,499,28,0,0,0,139.2758416
1,329,13,28,9,5,232,11,17,4,4,140,10,9,0,3,60,9,4,0,2,15,9,3,0,0,170.4355118
1,1363,47,0,2,1,660,24,0,2,1,250,14,0,1,1,64,9,0,0,0,12,5,0,0,0,182.5377479
1,296,18,0,57,0,135,8,0,18,0,50,3,0,3,0,14,3,0,1,0,1,1,0,0,0,200.0725598
1,3181,14,15,47,1,2409,9,2,17,0,1427,6,2,11,0,578,1,0,5,0,152,1,0,1,0,142.1838348
1,1111,4,6,7,0,666,3,1,3,0,288,2,0,1,0,91,1,0,0,0,15,1,0,0,0,157.6809089
1,2063,11,0,23,1,1318,5,0,7,1,648,2,0,3,1,230,1,0,1,0,53,1,0,0,0,186.3302981
1,2394,118,11,41,2,1742,67,5,23,2,1081,41,2,8,0,590,24,1,5,0,241,13,0,3,0,167.0392249
1,3470,30,6,27,1,2375,12,2,12,0,1304,5,0,4,0,557,4,0,2,0,182,3,0,2,0,175.4036522
1,992,17,1,29,0,569,9,0,8,0,231,4,0,0,0,63,1,0,0,0,12,0,0,0,0,220.4337466
1,1846,11,9,10,0,1305,4,5,5,0,793,3,1,2,0,377,2,0,2,0,114,2,0,1,0,151.2347471
1,2422,1,3,28,1,1817,0,1,16,1,1138,0,0,5,0,538,0,0,2,0,185,0,0,1,0,170.62307
1,595,9,0,7,1,292,2,0,1,1,102,0,0,0,0,26,0,0,0,0,3,0,0,0,0,205.9641854
1,5343,1,44,7,1,4542,1,17,2,1,3213,1,11,0,0,1546,0,4,0,0,435,0,1,0,0,135.9737344
1,270,371,0,70,54,128,208,0,42,37,42,120,0,25,27,9,70,0,12,15,0,51,0,10,7,250.9675238
1,284,6,36,29,3,163,3,13,9,3,81,2,5,1,3,27,2,0,0,3,11,0,0,0,3,136.8730554
1,778,13,0,4,8,513,6,0,2,5,272,3,0,1,3,99,2,0,0,2,34,0,0,0,2,176.6903552
1,1623,3,3,8,0,1037,1,0,3,0,567,0,0,1,0,198,0,0,0,0,47,0,0,0,0,145.1045755
1,2886,12,2,8,0,2150,7,1,1,0,1333,3,0,0,0,575,1,0,0,0,167,0,0,0,0,173.4743973
1,2166,28,0,7,2,1417,21,0,3,1,736,17,0,1,1,295,15,0,1,1,85,13,0,1,0,212.01243
1,1311,53,9,133,8,739,26,3,99,8,362,13,2,71,6,144,10,1,48,6,45,4,1,36,2,209.0396721
1,4469,17,0,20,34,3210,8,0,5,23,1857,5,0,0,17,739,3,0,0,8,209,2,0,0,6,171.6768403
1,1209,11,1,6,1,754,3,0,2,0,412,2,0,0,0,150,0,0,0,0,39,0,0,0,0,210.1159083
1,1615,75,11,51,33,1162,43,5,37,28,737,27,1,27,21,417,21,0,19,14,209,13,0,10,10,161.3117448
