class_i,ASCUS_s,LSIL_s,ASCH_s,HSIL_s,SCC_s,ASCUS_c,LSIL_c,ASCH_c,HSIL_c,SCC_c,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,w_mean,h_mean,v_mean,w_01,w_02,w_03,w_04,w_05,w_06,w_07,w_08,w_09,h_01,h_02,h_03,h_04,h_05,h_06,h_07,h_08,h_09,d_01,d_02,d_03,d_04,d_05,d_06,d_07,d_08,d_09,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09
2,1376,963,11,42,7,810,1492,13,70,14,350,1006,9,49,7,110,614,5,30,4,28,369,2,15,1,165.76765197582327,164.69270439391414,31727.987646509555,82.17304680000007,102.70795279999999,118.11500240000002,134.0256626,150.72180200000003,168.1200929999999,184.364221,204.8811518,262.83619400000015,82.17304680000007,102.70795279999999,118.11500240000002,134.0256626,150.72180200000003,168.1200929999999,184.364221,204.8811518,262.83619400000015,139.30874716358719,161.05999410133603,178.41990068510052,198.64475290150068,224.0330503913292,241.3725334316715,259.2019838366401,299.3260383593885,344.5609717726981,9134.001501087976,12006.11239865444,14655.76206710556,17806.267509019184,23728.585386047685,27171.545996082168,31509.749850769433,41549.66121522823,54678.3373910903
2,499,359,3,11,6,267,577,1,17,16,121,443,0,12,7,37,320,0,7,3,6,217,0,2,1,135.55728484965832,138.7579384931663,20564.798819867712,81.88845830000001,94.67111839999998,105.6346376,115.33237300000003,124.65915100000001,135.53241,147.99653930000005,165.96878800000002,196.40279600000002,81.88845830000001,94.67111839999998,105.6346376,115.33237300000003,124.65915100000001,135.53241,147.99653930000005,165.96878800000002,196.40279600000002,140.8510568408173,153.01901631892406,164.59841402714218,171.91976309987206,179.90238301831062,191.73294481123142,216.79618687837987,234.6841006403966,261.3186377949407,9218.495809525843,11095.230018586299,12350.779471045656,13705.712983535548,15220.249162903301,16938.700157248306,21760.941712337848,25528.818765458673,32162.807234819993
4,2384,246,281,132,7,1862,358,255,514,61,969,249,109,360,45,398,148,44,216,31,143,83,22,122,18,123.21100430819672,123.98664945147543,19766.31901652504,54.82145290000004,67.13570560000002,78.52074530000002,91.97345899999999,104.482277,118.522711,138.25228429999999,166.6092896,201.54686869999995,54.82145290000004,67.13570560000002,78.52074530000002,91.97345899999999,104.482277,118.522711,138.25228429999999,166.6092896,201.54686869999995,85.00012759846248,101.29775501338162,114.50552342058863,139.71475930021876,155.75020453557318,171.1713678516443,200.83408281004304,233.28781238394146,287.1580044772171,3445.951731414848,4853.347402799187,6174.638802051004,9254.350599663936,11229.73420513975,13584.041564306026,18082.976708461872,25613.314126035013,37512.014242248726
3,1135,49,177,155,1,912,42,203,349,11,573,21,139,196,4,296,10,91,84,3,127,7,43,28,0,106.52564271324984,108.93495586816084,14858.358000119128,53.37148380000001,61.748595799999975,70.40535300000002,79.1878844,87.15957700000001,98.29766600000004,111.46969039999999,135.7411956,179.84790060000006,53.37148380000001,61.748595799999975,70.40535300000002,79.1878844,87.15957700000001,98.29766600000004,111.46969039999999,135.7411956,179.84790060000006,84.88589172829134,95.29702573899758,105.25502060996436,111.96206565088576,131.1087518802277,143.83648022264896,161.03106740599742,184.93023197316515,274.40167007716514,3388.987280009624,4371.391830526598,5191.06696831148,5891.43627418742,8062.095342940909,9837.143729713713,12062.512550383039,15787.112802842106,34558.11830026103
4,2628,52,323,99,1,2197,55,558,286,7,1506,23,406,235,4,862,3,248,180,2,403,1,140,114,1,128.74860584531098,131.7747701940058,21907.255457177813,56.39191980000002,68.64888340000002,81.39874599999996,95.4902772,109.61724800000002,125.01123120000005,148.371472,173.2450476,203.03648400000003,56.39191980000002,68.64888340000002,81.39874599999996,95.4902772,109.61724800000002,125.01123120000005,148.371472,173.2450476,203.03648400000003,88.08538171199086,102.40197681686622,122.26400345769453,148.26892767101583,165.1901055489987,181.59117576086567,215.72536885580178,239.71470136480283,299.2247811777743,3662.3873255370167,4937.774877216119,6835.922368871529,10300.822117585354,12648.719375277395,15297.90059611171,22192.884983079213,27036.524768619063,40654.90354415375
3,1046,138,100,136,1,860,188,108,261,4,426,96,69,168,3,149,45,48,88,2,30,23,29,43,0,124.01140157072483,121.85904573047151,17993.37493754359,57.75439400000005,74.0059510000001,89.015015,101.77710000000008,115.26043700000002,129.00366200000002,146.98284899999996,166.20208799999995,190.91355800000002,57.75439400000005,74.0059510000001,89.015015,101.77710000000008,115.26043700000002,129.00366200000002,146.98284899999996,166.20208799999995,190.91355800000002,86.09264684155403,107.61256293851949,133.60759350291877,150.38534804917325,166.48007400698327,182.08958079857106,214.02827443654854,229.43083748155982,253.31694333590198,3585.8253688654486,5516.1545184682545,8573.14085465474,10595.591988385895,13099.639389024016,15934.665226099421,21696.24881024421,25221.812455975327,30214.145777796508
4,885,56,1325,960,0,342,20,388,2454,22,156,12,181,2031,10,61,9,91,1376,6,22,2,42,714,3,85.15754040793553,86.53887934128953,14649.071309553034,35.922901499999995,41.47578399999999,45.92576599999998,50.45060699999998,55.57116749999999,62.115782999999965,73.17602549999998,92.71059400000001,153.982086,35.922901499999995,41.47578399999999,45.92576599999998,50.45060699999998,55.57116749999999,62.115782999999965,73.17602549999998,92.71059400000001,153.982086,54.85542170585501,62.76597293313522,69.3379602207603,75.40854211540261,81.80418068317965,90.33796435977979,102.23491558648514,139.28811541848665,225.74142012219878,1392.5910932675383,1875.467985687301,2276.5473994539743,2709.2665023179406,3160.0281742743855,3867.212126719244,4892.132571193237,9165.135681215797,23755.754003625792
4,2034,173,3848,1011,1,606,33,2726,3646,56,241,16,1975,2800,27,66,6,1345,1827,8,12,4,883,977,5,110.80116465487477,111.55747604513937,21527.451191739936,42.4446512,50.172424,56.797173199999996,64.00675040000002,72.32305899999997,84.0823044,104.943648,137.66611920000003,222.81789580000046,42.4446512,50.172424,56.797173199999996,64.00675040000002,72.32305899999997,84.0823044,104.943648,137.66611920000003,222.81789580000046,65.23944190090407,76.32677408971792,85.12244717784905,93.3607457026158,102.78755553556088,117.75783710922795,153.1339106314369,198.179504896456,327.2222906310748,1993.1963996868958,2747.575854880841,3408.7010025403406,4121.874191561671,4926.541241328624,6378.662346622063,10818.756663076136,17714.49181784708,48433.55815759776
1,127,143,12,35,2,71,179,11,54,4,29,105,8,48,2,6,57,5,41,1,2,25,2,23,0,146.24826178683387,148.84338414733543,29470.230334656506,47.384923199999996,84.20375940000001,102.55115959999998,118.0742002,130.636658,146.6157224,162.51666259999996,186.3768158,215.9767208,47.384923199999996,84.20375940000001,102.55115959999998,118.0742002,130.636658,146.6157224,162.51666259999996,186.3768158,215.9767208,86.35709491531384,144.0276721704808,161.93236747585883,172.0414754094725,187.8557972482801,220.3516127277261,233.0089820415129,253.79228408962882,306.60673716607954,3302.772384462703,9614.893562990905,11998.255026552517,13862.000007158716,15865.974074930613,22366.2961251456,26135.73775463771,29476.816435382392,44828.27674366805
1,2736,12,71,27,0,2623,14,133,72,4,2057,5,98,42,2,1302,3,72,25,2,580,3,51,9,1,113.46480343745607,116.37415714019676,15583.68269751385,66.14340249999998,77.19860900000015,85.8818665,93.42678899999993,102.08703050000003,110.68658500000011,121.49699399999994,137.43640900000003,169.31243899999998,66.14340249999998,77.19860900000015,85.8818665,93.42678899999993,102.08703050000003,110.68658500000011,121.49699399999994,137.43640900000003,169.31243899999998,100.62178473782282,112.6728522511901,129.94317988126969,139.1065052087491,148.71779140273438,161.78323494098277,174.57691210343938,201.4399448555669,238.16137142988754,4840.968053900166,6173.567647104326,8209.096889413271,9194.139426410398,10596.463603910528,12498.075334134079,14617.299781136222,18416.926483886673,27082.730317606976
4,3194,44,3130,989,1,1619,5,1474,4239,21,1233,4,858,3276,21,850,2,464,2097,15,498,0,251,1045,6,90.98280826569719,91.20974769434629,13517.971355747855,42.07286349999998,48.686633,54.3774287,60.32646460000002,67.48318500000002,75.56530780000003,88.76916480000003,108.33969060000001,143.2949886,42.07286349999998,48.686633,54.3774287,60.32646460000002,67.48318500000002,75.56530780000003,88.76916480000003,108.33969060000001,143.2949886,64.12042929707896,73.0710282343093,80.61847828919669,87.94481427640432,96.31506635055648,107.01879014851576,132.6859581460641,154.3327475946732,209.12715386759746,1962.3160032187436,2550.057844468415,3108.915768261377,3701.2186563447713,4415.821953294538,5469.488849630519,8397.812853384501,11245.887723300151,19387.038029637766
